;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 7/4/2017 9:26:14 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF002EFDC  	GOTO        1464
_interrupt:
;projetoFinal2.c,50 :: 		void interrupt()
0x0008	0xF016C000  	MOVFF       R0, 22
0x000C	0xF015C001  	MOVFF       R1, 21
;projetoFinal2.c,52 :: 		Lcd_Init();
0x0010	0xDA88      	RCALL       _Lcd_Init
;projetoFinal2.c,53 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0012	0x0E01      	MOVLW       1
0x0014	0x6E41      	MOVWF       FARG_Lcd_Cmd_out_char 
0x0016	0xD896      	RCALL       _Lcd_Cmd
;projetoFinal2.c,54 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);
0x0018	0x0E0C      	MOVLW       12
0x001A	0x6E41      	MOVWF       FARG_Lcd_Cmd_out_char 
0x001C	0xD893      	RCALL       _Lcd_Cmd
;projetoFinal2.c,56 :: 		if(INTCON.TMR0IF == 1)
0x001E	0xA4F2      	BTFSS       INTCON, 2 
0x0020	0xD079      	BRA         L_interrupt0
;projetoFinal2.c,58 :: 		TMR0H = 0xDB;
0x0022	0x0EDB      	MOVLW       219
0x0024	0x6ED7      	MOVWF       TMR0H 
;projetoFinal2.c,59 :: 		TMR0L = 0x61;
0x0026	0x0E61      	MOVLW       97
0x0028	0x6ED6      	MOVWF       TMR0L 
;projetoFinal2.c,61 :: 		ucContador++;
0x002A	0x2A17      	INCF        _ucContador, 1 
;projetoFinal2.c,63 :: 		if(ucContador == 16)
0x002C	0x5017      	MOVF        _ucContador, 0 
0x002E	0x0A10      	XORLW       16
0x0030	0xE123      	BNZ         L_interrupt1
;projetoFinal2.c,65 :: 		Delay_ms(1000);
0x0032	0x0E0B      	MOVLW       11
0x0034	0x6E0B      	MOVWF       R11, 0
0x0036	0x0E26      	MOVLW       38
0x0038	0x6E0C      	MOVWF       R12, 0
0x003A	0x0E5D      	MOVLW       93
0x003C	0x6E0D      	MOVWF       R13, 0
L_interrupt2:
0x003E	0x2E0D      	DECFSZ      R13, 1, 0
0x0040	0xD7FE      	BRA         L_interrupt2
0x0042	0x2E0C      	DECFSZ      R12, 1, 0
0x0044	0xD7FC      	BRA         L_interrupt2
0x0046	0x2E0B      	DECFSZ      R11, 1, 0
0x0048	0xD7FA      	BRA         L_interrupt2
0x004A	0x0000      	NOP
0x004C	0x0000      	NOP
;projetoFinal2.c,66 :: 		Display_LCD();
0x004E	0xDA44      	RCALL       _Display_LCD
;projetoFinal2.c,67 :: 		for(ucContador = 2; ucContador < 15; ucContador ++)
0x0050	0x0E02      	MOVLW       2
0x0052	0x6E17      	MOVWF       _ucContador 
L_interrupt3:
0x0054	0x0E0F      	MOVLW       15
0x0056	0x5C17      	SUBWF       _ucContador, 0 
0x0058	0xE20D      	BC          L_interrupt4
;projetoFinal2.c,69 :: 		Lcd_Chr(2,ucContador+1,EEPROM_Read(ucContador));
0x005A	0xF037C017  	MOVFF       _ucContador, FARG_EEPROM_Read_address
0x005E	0xD9D7      	RCALL       _EEPROM_Read
0x0060	0xF040C000  	MOVFF       R0, FARG_Lcd_Chr_out_char
0x0064	0x0E02      	MOVLW       2
0x0066	0x6E3E      	MOVWF       FARG_Lcd_Chr_row 
0x0068	0x5017      	MOVF        _ucContador, 0 
0x006A	0x0F01      	ADDLW       1
0x006C	0x6E3F      	MOVWF       FARG_Lcd_Chr_column 
0x006E	0xD8A8      	RCALL       _Lcd_Chr
;projetoFinal2.c,67 :: 		for(ucContador = 2; ucContador < 15; ucContador ++)
0x0070	0x2A17      	INCF        _ucContador, 1 
;projetoFinal2.c,70 :: 		}
0x0072	0xD7F0      	BRA         L_interrupt3
L_interrupt4:
;projetoFinal2.c,71 :: 		ucContador = 0;
0x0074	0x6A17      	CLRF        _ucContador 
;projetoFinal2.c,72 :: 		}
0x0076	0xD04D      	BRA         L_interrupt6
L_interrupt1:
;projetoFinal2.c,75 :: 		iLeituraAD = ADC_Read(2);
0x0078	0x0E02      	MOVLW       2
0x007A	0x6E37      	MOVWF       FARG_ADC_Read_channel 
0x007C	0xD992      	RCALL       _ADC_Read
0x007E	0xF02DC000  	MOVFF       R0, _iLeituraAD
0x0082	0xF02EC001  	MOVFF       R1, _iLeituraAD+1
;projetoFinal2.c,76 :: 		iLeituraAD /= 2;
0x0086	0xF02DC000  	MOVFF       R0, _iLeituraAD
0x008A	0xF02EC001  	MOVFF       R1, _iLeituraAD+1
0x008E	0x322E      	RRCF        _iLeituraAD+1, 1 
0x0090	0x322D      	RRCF        _iLeituraAD, 1 
0x0092	0x9E2E      	BCF         _iLeituraAD+1, 7 
;projetoFinal2.c,77 :: 		Lcd_Out(1,1,"Registrando");
0x0094	0x0E01      	MOVLW       1
0x0096	0x6E39      	MOVWF       FARG_Lcd_Out_row 
0x0098	0x0E01      	MOVLW       1
0x009A	0x6E3A      	MOVWF       FARG_Lcd_Out_column 
0x009C	0x0E21      	MOVLW       ?lstr1_projetoFinal2
0x009E	0x6E3B      	MOVWF       FARG_Lcd_Out_text 
0x00A0	0x0E00      	MOVLW       hi_addr(?lstr1_projetoFinal2)
0x00A2	0x6E3C      	MOVWF       FARG_Lcd_Out_text+1 
0x00A4	0xD8CD      	RCALL       _Lcd_Out
;projetoFinal2.c,78 :: 		temp = iLeituraAD;
0x00A6	0xF01FC02D  	MOVFF       _iLeituraAD, _temp
0x00AA	0xF020C02E  	MOVFF       _iLeituraAD+1, _temp+1
;projetoFinal2.c,79 :: 		EEPROM_Write(ucContador,0x30+(temp%10));
0x00AE	0xF037C017  	MOVFF       _ucContador, FARG_EEPROM_Write_address
0x00B2	0x0E0A      	MOVLW       10
0x00B4	0x6E04      	MOVWF       R4 
0x00B6	0x0E00      	MOVLW       0
0x00B8	0x6E05      	MOVWF       R5 
0x00BA	0xF000C02D  	MOVFF       _iLeituraAD, R0
0x00BE	0xF001C02E  	MOVFF       _iLeituraAD+1, R1
0x00C2	0xD9D5      	RCALL       _Div_16X16_U
0x00C4	0xF000C008  	MOVFF       R8, R0
0x00C8	0xF001C009  	MOVFF       R9, R1
0x00CC	0x5000      	MOVF        R0, 0 
0x00CE	0x0F30      	ADDLW       48
0x00D0	0x6E38      	MOVWF       FARG_EEPROM_Write_data_ 
0x00D2	0xD9E8      	RCALL       _EEPROM_Write
;projetoFinal2.c,80 :: 		temp /= 10;
0x00D4	0x0E0A      	MOVLW       10
0x00D6	0x6E04      	MOVWF       R4 
0x00D8	0x0E00      	MOVLW       0
0x00DA	0x6E05      	MOVWF       R5 
